"Years" "Months" "Days" "TX"
"1" 1876 1 1 3.5
"2" 1876 1 2 2.8
"3" 1876 1 3 2.8
"4" 1876 1 4 -1.8
"5" 1876 1 5 -6.8
"6" 1876 1 6 -4.5
"7" 1876 1 7 -4.5
"8" 1876 1 8 -6.8
"9" 1876 1 9 -9.8
"10" 1876 1 10 -6.2
"11" 1876 1 11 -5.3
"12" 1876 1 12 -3.5
"13" 1876 1 13 -2.8
"14" 1876 1 14 -2.3
"15" 1876 1 15 -3
"16" 1876 1 16 -0.8
"17" 1876 1 17 -0.3
"18" 1876 1 18 3.3
"19" 1876 1 19 5.5
"20" 1876 1 20 5.8
"21" 1876 1 21 6
"22" 1876 1 22 6
"23" 1876 1 23 2.8
"24" 1876 1 24 3.8
"25" 1876 1 25 4.3
"26" 1876 1 26 1.8
"27" 1876 1 27 0.3
"28" 1876 1 28 0.3
"29" 1876 1 29 0.5
"30" 1876 1 30 3
"31" 1876 1 31 2.8
"32" 1876 2 1 1.3
"33" 1876 2 2 3.5
"34" 1876 2 3 2
"35" 1876 2 4 3.8
"36" 1876 2 5 1.5
"37" 1876 2 6 0.8
"38" 1876 2 7 0.8
"39" 1876 2 8 -0.3
"40" 1876 2 9 -0.3
"41" 1876 2 10 0.3
"42" 1876 2 11 -2.8
"43" 1876 2 12 0.8
"44" 1876 2 13 -2.5
"45" 1876 2 14 2.8
"46" 1876 2 15 4.3
"47" 1876 2 16 7.5
"48" 1876 2 17 6.8
"49" 1876 2 18 9.3
"50" 1876 2 19 11.3
"51" 1876 2 20 6.8
"52" 1876 2 21 6.3
"53" 1876 2 22 12.3
"54" 1876 2 23 10.8
"55" 1876 2 24 7.5
"56" 1876 2 25 4.5
"57" 1876 2 26 5.8
"58" 1876 2 27 9.5
"59" 1876 2 28 9.8
"60" 1876 2 29 6.5
"61" 1876 3 1 10
"62" 1876 3 2 10.8
"63" 1876 3 3 8.8
"64" 1876 3 4 12.8
"65" 1876 3 5 8.8
"66" 1876 3 6 9.3
"67" 1876 3 7 9
"68" 1876 3 8 6.5
"69" 1876 3 9 8
"70" 1876 3 10 7.5
"71" 1876 3 11 9.5
"72" 1876 3 12 9
"73" 1876 3 13 8.3
"74" 1876 3 14 7
"75" 1876 3 15 10
"76" 1876 3 16 8.3
"77" 1876 3 17 4.5
"78" 1876 3 18 6.3
"79" 1876 3 19 4.8
"80" 1876 3 20 4
"81" 1876 3 21 3.3
"82" 1876 3 22 0.5
"83" 1876 3 23 6.5
"84" 1876 3 24 4.8
"85" 1876 3 25 5
"86" 1876 3 26 0.8
"87" 1876 3 27 4
"88" 1876 3 28 9
"89" 1876 3 29 15.5
"90" 1876 3 30 14.8
"91" 1876 3 31 15
"92" 1876 4 1 13.3
"93" 1876 4 2 19.3
"94" 1876 4 3 13.5
"95" 1876 4 4 9.3
"96" 1876 4 5 14
"97" 1876 4 6 14
"98" 1876 4 7 13
"99" 1876 4 8 15
"100" 1876 4 9 19.3
"101" 1876 4 10 17
"102" 1876 4 11 15.3
"103" 1876 4 12 10.3
"104" 1876 4 13 6.3
"105" 1876 4 14 9.8
"106" 1876 4 15 11
"107" 1876 4 16 7
"108" 1876 4 17 11.8
"109" 1876 4 18 14
"110" 1876 4 19 18.5
"111" 1876 4 20 17.8
"112" 1876 4 21 19
"113" 1876 4 22 13
"114" 1876 4 23 17.3
"115" 1876 4 24 10
"116" 1876 4 25 13.3
"117" 1876 4 26 15
"118" 1876 4 27 11.3
"119" 1876 4 28 12.8
"120" 1876 4 29 16.8
"121" 1876 4 30 18.5
"122" 1876 5 1 17.3
"123" 1876 5 2 11.5
"124" 1876 5 3 10.5
"125" 1876 5 4 11
"126" 1876 5 5 13
"127" 1876 5 6 14.5
"128" 1876 5 7 9.5
"129" 1876 5 8 9.3
"130" 1876 5 9 10.8
"131" 1876 5 10 12.5
"132" 1876 5 11 11.3
"133" 1876 5 12 11
"134" 1876 5 13 11.8
"135" 1876 5 14 11
"136" 1876 5 15 12.8
"137" 1876 5 16 12.5
"138" 1876 5 17 15.8
"139" 1876 5 18 16.8
"140" 1876 5 19 9
"141" 1876 5 20 13.3
"142" 1876 5 21 17.3
"143" 1876 5 22 16.3
"144" 1876 5 23 19.3
"145" 1876 5 24 18.3
"146" 1876 5 25 20.3
"147" 1876 5 26 15.3
"148" 1876 5 27 13.5
"149" 1876 5 28 15.5
"150" 1876 5 29 19.5
"151" 1876 5 30 21.3
"152" 1876 5 31 25
"153" 1876 6 1 14.3
"154" 1876 6 2 17.3
"155" 1876 6 3 25.3
"156" 1876 6 4 21.5
"157" 1876 6 5 22.8
"158" 1876 6 6 26.5
"159" 1876 6 7 28.8
"160" 1876 6 8 20
"161" 1876 6 9 28
"162" 1876 6 10 23.8
"163" 1876 6 11 23.8
"164" 1876 6 12 24
"165" 1876 6 13 23.5
"166" 1876 6 14 21.5
"167" 1876 6 15 23
"168" 1876 6 16 24.5
"169" 1876 6 17 18.8
"170" 1876 6 18 23.3
"171" 1876 6 19 24
"172" 1876 6 20 23.8
"173" 1876 6 21 25.3
"174" 1876 6 22 25.5
"175" 1876 6 23 21
"176" 1876 6 24 20
"177" 1876 6 25 20
"178" 1876 6 26 23
"179" 1876 6 27 22.5
"180" 1876 6 28 25.3
"181" 1876 6 29 25.3
"182" 1876 6 30 23.3
"183" 1876 7 1 22.5
"184" 1876 7 2 20.5
"185" 1876 7 3 24
"186" 1876 7 4 23
"187" 1876 7 5 23.8
"188" 1876 7 6 25
"189" 1876 7 7 30
"190" 1876 7 8 30.8
"191" 1876 7 9 26.3
"192" 1876 7 10 28.3
"193" 1876 7 11 22.3
"194" 1876 7 12 22.5
"195" 1876 7 13 21.3
"196" 1876 7 14 22.3
"197" 1876 7 15 23.8
"198" 1876 7 16 23.5
"199" 1876 7 17 23.5
"200" 1876 7 18 21
"201" 1876 7 19 18.3
"202" 1876 7 20 21.8
"203" 1876 7 21 22.3
"204" 1876 7 22 23.8
"205" 1876 7 23 26.3
"206" 1876 7 24 28.8
"207" 1876 7 25 28.8
"208" 1876 7 26 25.5
"209" 1876 7 27 29.8
"210" 1876 7 28 23.8
"211" 1876 7 29 23
"212" 1876 7 30 23.8
"213" 1876 7 31 29.5
"214" 1876 8 1 24
"215" 1876 8 2 24.3
"216" 1876 8 3 26.3
"217" 1876 8 4 25.5
"218" 1876 8 5 28
"219" 1876 8 6 21.5
"220" 1876 8 7 25
"221" 1876 8 8 26.3
"222" 1876 8 9 24.5
"223" 1876 8 10 24
"224" 1876 8 11 25.3
"225" 1876 8 12 25.8
"226" 1876 8 13 27.3
"227" 1876 8 14 28.3
"228" 1876 8 15 29.8
"229" 1876 8 16 24.8
"230" 1876 8 17 22.3
"231" 1876 8 18 21.8
"232" 1876 8 19 25.3
"233" 1876 8 20 28
"234" 1876 8 21 30.3
"235" 1876 8 22 26
"236" 1876 8 23 24.5
"237" 1876 8 24 20.3
"238" 1876 8 25 29.5
"239" 1876 8 26 19
"240" 1876 8 27 18.8
"241" 1876 8 28 18.8
"242" 1876 8 29 18.5
"243" 1876 8 30 19
"244" 1876 8 31 18.5
"245" 1876 9 1 15.3
"246" 1876 9 2 19
"247" 1876 9 3 18.8
"248" 1876 9 4 18.3
"249" 1876 9 5 24.5
"250" 1876 9 6 26.3
"251" 1876 9 7 21
"252" 1876 9 8 18.5
"253" 1876 9 9 17
"254" 1876 9 10 17.5
"255" 1876 9 11 15.8
"256" 1876 9 12 17
"257" 1876 9 13 17.8
"258" 1876 9 14 19
"259" 1876 9 15 14.5
"260" 1876 9 16 14.5
"261" 1876 9 17 16.8
"262" 1876 9 18 16.3
"263" 1876 9 19 16.3
"264" 1876 9 20 14
"265" 1876 9 21 14.5
"266" 1876 9 22 15.5
"267" 1876 9 23 16.3
"268" 1876 9 24 14.5
"269" 1876 9 25 17.3
"270" 1876 9 26 16.5
"271" 1876 9 27 16
"272" 1876 9 28 18.5
"273" 1876 9 29 17.5
"274" 1876 9 30 16
"275" 1876 10 1 15
"276" 1876 10 2 13.5
"277" 1876 10 3 14
"278" 1876 10 4 14.8
"279" 1876 10 5 19.5
"280" 1876 10 6 19.5
"281" 1876 10 7 21.8
"282" 1876 10 8 21.3
"283" 1876 10 9 21.5
"284" 1876 10 10 20.8
"285" 1876 10 11 21.5
"286" 1876 10 12 22.5
"287" 1876 10 13 22.3
"288" 1876 10 14 22.8
"289" 1876 10 15 18.8
"290" 1876 10 16 17.5
"291" 1876 10 17 19
"292" 1876 10 18 15.3
"293" 1876 10 19 11.8
"294" 1876 10 20 6.5
"295" 1876 10 21 7.3
"296" 1876 10 22 8
"297" 1876 10 23 8.3
"298" 1876 10 24 12
"299" 1876 10 25 10.3
"300" 1876 10 26 9.5
"301" 1876 10 27 10.5
"302" 1876 10 28 10.5
"303" 1876 10 29 11.5
"304" 1876 10 30 9.8
"305" 1876 10 31 7
"306" 1876 11 1 6.8
"307" 1876 11 2 7.8
"308" 1876 11 3 9.3
"309" 1876 11 4 5.8
"310" 1876 11 5 2.8
"311" 1876 11 6 2.3
"312" 1876 11 7 2
"313" 1876 11 8 0.5
"314" 1876 11 9 -0.8
"315" 1876 11 10 -1.5
"316" 1876 11 11 -2.8
"317" 1876 11 12 -1.5
"318" 1876 11 13 2.3
"319" 1876 11 14 7.8
"320" 1876 11 15 7.5
"321" 1876 11 16 6.8
"322" 1876 11 17 7.5
"323" 1876 11 18 10.3
"324" 1876 11 19 7
"325" 1876 11 20 5.3
"326" 1876 11 21 1.5
"327" 1876 11 22 0.8
"328" 1876 11 23 -1.5
"329" 1876 11 24 -0.5
"330" 1876 11 25 -0.3
"331" 1876 11 26 2.5
"332" 1876 11 27 5.3
"333" 1876 11 28 8
"334" 1876 11 29 7.3
"335" 1876 11 30 7
"336" 1876 12 1 5.8
"337" 1876 12 2 10.5
"338" 1876 12 3 10.3
"339" 1876 12 4 6.6
"340" 1876 12 5 10.8
"341" 1876 12 6 12.5
"342" 1876 12 7 9.8
"343" 1876 12 8 10.5
"344" 1876 12 9 8.3
"345" 1876 12 10 8
"346" 1876 12 11 6.8
"347" 1876 12 12 6.8
"348" 1876 12 13 6
"349" 1876 12 14 6.3
"350" 1876 12 15 5
"351" 1876 12 16 3.3
"352" 1876 12 17 1.3
"353" 1876 12 18 0.8
"354" 1876 12 19 3.3
"355" 1876 12 20 3.3
"356" 1876 12 21 -5
"357" 1876 12 22 -7.3
"358" 1876 12 23 -9.3
"359" 1876 12 24 -15.3
"360" 1876 12 25 -11
"361" 1876 12 26 -11.5
"362" 1876 12 27 -8
"363" 1876 12 28 3.3
"364" 1876 12 29 7
"365" 1876 12 30 8
"366" 1876 12 31 8
"367" 1877 1 1 11
"368" 1877 1 2 9.3
"369" 1877 1 3 3.5
"370" 1877 1 4 8
"371" 1877 1 5 7.8
"372" 1877 1 6 9
"373" 1877 1 7 7.5
"374" 1877 1 8 9.8
"375" 1877 1 9 13.8
"376" 1877 1 10 9.8
"377" 1877 1 11 4.3
"378" 1877 1 12 1.3
"379" 1877 1 13 1.3
"380" 1877 1 14 2.3
"381" 1877 1 15 2.8
"382" 1877 1 16 6.5
"383" 1877 1 17 4.3
"384" 1877 1 18 2.8
"385" 1877 1 19 3.5
"386" 1877 1 20 7.5
"387" 1877 1 21 5.3
"388" 1877 1 22 4
"389" 1877 1 23 3.5
"390" 1877 1 24 3
"391" 1877 1 25 1.5
"392" 1877 1 26 -1.8
"393" 1877 1 27 -3.8
"394" 1877 1 28 3
"395" 1877 1 29 5.3
"396" 1877 1 30 6.3
"397" 1877 1 31 3.3
"398" 1877 2 1 2
"399" 1877 2 2 2.8
"400" 1877 2 3 2.8
"401" 1877 2 4 4
"402" 1877 2 5 4.5
"403" 1877 2 6 6.8
"404" 1877 2 7 9.8
"405" 1877 2 8 8.3
"406" 1877 2 9 7
"407" 1877 2 10 7.8
"408" 1877 2 11 6.5
"409" 1877 2 12 6.5
"410" 1877 2 13 1.5
"411" 1877 2 14 0.5
"412" 1877 2 15 5.5
"413" 1877 2 16 9.5
"414" 1877 2 17 8.8
"415" 1877 2 18 5
"416" 1877 2 19 8.8
"417" 1877 2 20 8
"418" 1877 2 21 8.3
"419" 1877 2 22 5.5
"420" 1877 2 23 3.3
"421" 1877 2 24 4.5
"422" 1877 2 25 7.8
"423" 1877 2 26 5
"424" 1877 2 27 2.5
"425" 1877 2 28 0.5
"426" 1877 3 1 -1.5
"427" 1877 3 2 -0.3
"428" 1877 3 3 2
"429" 1877 3 4 4.3
"430" 1877 3 5 4.5
"431" 1877 3 6 3.5
"432" 1877 3 7 3.3
"433" 1877 3 8 2.5
"434" 1877 3 9 0.5
"435" 1877 3 10 -0.8
"436" 1877 3 11 0.5
"437" 1877 3 12 4
"438" 1877 3 13 4.8
"439" 1877 3 14 7.5
"440" 1877 3 15 6.8
"441" 1877 3 16 7.5
"442" 1877 3 17 6.3
"443" 1877 3 18 7
"444" 1877 3 19 9.8
"445" 1877 3 20 3.8
"446" 1877 3 21 7.8
"447" 1877 3 22 7
"448" 1877 3 23 4.8
"449" 1877 3 24 6.3
"450" 1877 3 25 12
"451" 1877 3 26 14
"452" 1877 3 27 14.5
"453" 1877 3 28 11.8
"454" 1877 3 29 11.3
"455" 1877 3 30 10.3
"456" 1877 3 31 11.3
"457" 1877 4 1 8.5
"458" 1877 4 2 8.3
"459" 1877 4 3 9
"460" 1877 4 4 11
